CourseID	SectionNo	EmpID	Year	Semester	Grade
22100 F	32131	001	2022	Fall	C
22100 F	32131	002	2022	Fall	B
22100 P	32132	003	2022	Fall	F
22100 R	32150	004	2022	Fall	B
22100 F	32131	005	2022	Fall	A
22100 F	32131	006	2022	Fall	A
22100 P	32132	007	2022	Fall	F
22100 P	32132	008	2022	Fall	C
22100 F	32131	009	2022	Fall	B
22100 P	32132	010	2022	Fall	D
22100 R	32150	011	2022	Fall	B
22100 F	32131	012	2022	Fall	B
22100 F	32131	013	2022	Fall	D
22100 F	32131	014	2022	Fall	W
22100 R	32150	015	2022	Fall	B
22100 P	32132	016	2022	Fall	C
22100 F	32131	017	2022	Fall	C
22100 R	32150	018	2022	Fall	C
22100 R	32150	019	2022	Fall	B
22100 F	32131	020	2022	Fall	C
22100 P	32132	021	2022	Fall	F
22100 R	32150	022	2022	Fall	C
22100 R	32150	023	2022	Fall	A
22100 P	32132	024	2022	Fall	F
22100 F	32131	025	2022	Fall	D
22100 R	32150	026	2022	Fall	W
22100 P	32132	027	2022	Fall	C
22100 F	32131	028	2022	Fall	B
22100 P	32132	029	2022	Fall	B
